,EffectiveDate,WorkDate,QuoteQueryId,QuoteDriverId1,QuoteDriverId2,PolicyInceptionDate,ProposerYearsAtHomeAddress,AddressLine4,NCDClaimedYearsEarned,NCDDrivingExperienceYears,VehicleCode,VehicleValue,VehicleAnnualMileage,VehicleDateManufactured,VehicleImported,VehicleEngineCapacity,VehicleFuelType,VehicleSeats,VehicleDoors,VehicleOvernightLocation,VehicleBodyType,CarsInHouseHold,EmploymentStatus,LicenceType,LicenceCountry,ClaimsIndicator,VoluntaryExcess,Driver1RelationshipToProposer,Driver1Age,Driver1VehicleDrivingFrequency,Driver2RelationshipToProposer,Driver2Age,Driver2LicenceType,Driver2LicenceCountry,Driver2LicenceDate,Driver2EmploymentStatus,Driver2VehicleDrivingFrequency,Driver2ClaimsIndicator,Insurer_1GrossPremCompStepAnnual,Insurer_1NetPremCompStepAnnual,Insurer_1FeePremCompStepAnnual,Insurer_1CommissionCompStepAnnual,Insurer_1DiscountCompStep,Insurer_1IncomeIfSold,Insurer_1CustomerPrice,Insurer_2GrossPremCompStepAnnual,Insurer_2NetPremCompStepAnnual,Insurer_2FeePremCompStepAnnual,Insurer_2CommissionCompStepAnnual,Insurer_2DiscountCompStep,Insurer_2IncomeIfSold,Insurer_2CustomerPrice,Insurer_3GrossPremCompStepAnnual,Insurer_3NetPremCompStepAnnual,Insurer_3FeePremCompStepAnnual,Insurer_3CommissionCompStepAnnual,Insurer_3DiscountCompStep,Insurer_3IncomeIfSold,Insurer_3CustomerPrice,Insurer_4GrossPremCompStepAnnual,Insurer_4NetPremCompStepAnnual,Insurer_4FeePremCompStepAnnual,Insurer_4CommissionCompStepAnnual,Insurer_4DiscountCompStep,Insurer_4IncomeIfSold,Insurer_4CustomerPrice,SaleFlag,IsDirectDebit,SaleCoverType,HomeOwner,PricingModel,MarketPricePrediction
0,11/30/23,11/11/23,56346939,72262056,,12/3/23 0:00,0,Dublin,2,0,22525401,"€8,000.00",5000,1/1/13 0:00,0,1685,D,5,5,Parked On Drive,4,,Employed,Provisional Irish,IE,0,0,Proposer,24,Main,,,,,,,,,1974.12,1692.1,0,188.01,21.32,209.33,1995.44,2245.39,1909.63,0,188.87,24.25,213.12,2269.64,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Low,€846.13
1,11/30/23,11/11/23,56358210,72277335,,11/14/23 0:00,0,Cork,4,0,95050627,"€5,000.00",7000,1/1/13 0:00,0,1248,D,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,24,,,,,,,,,,658.9,564.77,0,62.75,-12.86,49.89,646.04,723.53,615.35,0,60.86,-14.12,46.74,709.41,829.31,712.47,0,79.16,-16.19,62.97,813.12,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,€699.89
2,11/30/23,11/12/23,56364057,72285133,,11/21/23 0:00,0,Cork,0,0,95050219,"€2,000.00",1000,1/1/07 0:00,0,1399,P,5,3,Parked On Drive,5,,Unemployed,Provisional Irish,IE,0,0,Proposer,17,Main,,,,,,,,,,,,,,,,6169.41,5246.88,0,518.92,-276.64,242.28,5892.77,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Low,"€2,118.51"
3,11/30/23,11/12/23,56387878,72317347,,11/13/23 0:00,0,Dublin,0,0,95051712,"€6,000.00",5000,1/1/11 0:00,0,1198,P,5,5,Garaged,5,,Employed,Learner Permit,IE,0,0,Proposer,32,Main,,,,,,,,,2431.7,2084.31,0,231.59,210.97,442.56,2642.67,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,High,"€1,177.12"
4,11/30/23,11/11/23,56340963,72253119,,11/11/23 0:00,0,Kildare,0,0,95040992,"€3,500.00",8000,1/1/10 0:00,0,1560,D,5,5,Kept On Private Property,5,,Employed,Provisional Irish,IE,0,0,Proposer,33,Main,,,,,,,,,2502.92,2145.36,0,238.37,160.19,398.56,2663.11,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,195.64"
5,11/30/23,11/11/23,56342724,72255756,72255757,11/11/23 0:00,0,Wexford,2,0,28801201,"€8,000.00",10000,1/1/03 0:00,0,1988,P,5,4,Garaged,9,,Employed,Full Irish,IE,0,0,Proposer,29,Main,Relative,49,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,884.86,758.45,35,84.27,0,119.27,919.86,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€727.45
6,11/30/23,11/12/23,56379681,72306180,72306181,11/16/23 0:00,0,Dublin,9,0,95057286,"€8,000.00",2000,1/1/14 0:00,0,1956,D,5,4,Parked On Drive,9,,Retired,Full Irish,IE,0,0,Proposer,68,Main,,66,Full Irish,IE,10/26/17 0:00,Retired,Frequent,0,359.71,308.32,10,34.26,0,44.26,369.71,979.51,833.04,35,82.39,0,117.39,1014.51,619.7,532.39,35,59.15,0,94.15,654.7,,,,,,,,Insurer_1,0,Comprehensive,Y,Other,€379.70
7,11/30/23,11/12/23,56373773,72298066,,12/1/23 0:00,0,Galway,0,0,95500060,"€2,000.00",5000,1/1/11 0:00,0,1332,P,5,4,Kept On Private Property,9,,Employed,Provisional Irish,IE,0,0,Proposer,36,Main,,,,,,,,,1549.83,1328.43,0,147.6,92.85,240.45,1642.68,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,017.58"
8,11/30/23,11/11/23,56344227,72258107,72258108,11/30/23 0:00,0,Dublin,9,0,28811419,"€14,000.00",5000,1/1/15 0:00,0,1798,P,5,5,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,47,Infrequent (Casual),,42,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,346.5,297,10,33,0,43,356.5,686.29,583.66,35,57.73,0,92.73,721.29,600.2,515.64,35,57.29,0,92.29,635.2,,,,,,,,No Sale,0,"Third party, fire, theft",Y,Other,€329.75
9,11/30/23,11/12/23,56370721,72293781,,11/12/23 0:00,0,Cork,4,0,17580701,"€4,000.00",5000,1/1/09 0:00,0,1560,D,5,5,Parked On Drive,5,,Employed,Full Irish,IE,0,0,Proposer,22,Main,,,,,,,,,,,,,,,,754.68,641.84,0,63.48,76.48,139.96,831.16,1189.08,1021.55,0,113.5,120.51,234.01,1309.59,,,,,,,,No Sale,0,"Third party, fire, theft",N,Challenger,"€1,203.64"
10,11/30/23,11/11/23,56343054,72256267,,11/12/23 0:00,0,Dublin,5,0,33800401,"€1,500.00",3000,1/1/06 0:00,0,1364,D,5,3,Kept On Private Property,5,,Employed,Full Irish,IE,0,0,Proposer,24,Main,,,,,,,,,1952.35,1673.44,0,185.94,22.9,208.84,1975.25,1029.57,875.61,0,86.6,12.08,98.68,1041.65,1323.23,1136.8,0,126.31,15.52,141.83,1338.75,,,,,,,,No Sale,0,"Third party, fire, theft",N,Low,€790.04
11,11/30/23,11/11/23,56351652,72268568,72268569,11/12/23 0:00,0,Offaly,9,0,95050485,"€8,000.00",20000,1/1/12 0:00,0,1998,D,5,4,Kept On Private Property,9,,Employed,Full Irish,IE,0,0,Proposer,45,Frequent,,50,Full Irish,IE,11/11/03 0:00,Employed,Frequent,0,362.25,310.5,10,34.5,25.35,69.85,397.6,727.2,618.46,35,61.17,50.9,147.07,813.1,329.97,283.48,10,31.5,23.09,64.59,363.06,,,,,,,,Insurer_3,1,Comprehensive,Y,Other,€353.26
12,11/30/23,11/12/23,56386560,72315498,72315499,11/14/23 0:00,0,Mayo,2,0,53613301,"€9,000.00",5000,1/1/14 0:00,0,1598,D,5,4,Kept On Private Property,9,,Employed,Full Irish,IE,0,0,Proposer,21,Main,Relative,55,Full Irish,IE,11/12/03 0:00,Employed,Frequent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€1,444.76"
13,11/30/23,11/12/23,56387380,72316648,,11/13/23 0:00,0,Galway,0,3,95053920,"€6,200.00",10000,1/1/16 0:00,0,999,P,5,5,Garaged,5,,Employed,Full Irish,IE,0,0,Proposer,26,Main,,,,,,,,,1406.73,1205.77,80,133.97,0,213.97,1486.73,1266.79,1077.37,50,106.55,0,156.55,1316.79,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Other,"€1,007.67"
14,11/30/23,11/11/23,56359996,72279551,,11/12/23 0:00,0,Leitrim,0,0,22519901,"€2,000.00",4000,1/1/08 0:00,0,1991,D,5,5,Kept On Private Property,4,,Employed,Provisional Irish,IE,0,0,Proposer,17,Main,,,,,,,,,,,,,,,,4878.64,4149.14,0,410.35,98.06,508.41,4976.7,,,,,,,,,,,,,,,No Sale,0,"Third party, fire, theft",N,Champion,"€2,139.84"
